"0x1a4909","KEY_0","0x90B","DVD 0"
"0x10009","KEY_0","0x910","TV 0"
"0x1a4900","KEY_1","0x00B","DVD 1"
"0x10000","KEY_1","0x010","TV 1"
"0x1a4901","KEY_2","0x80B","DVD 2"
"0x10001","KEY_2","0x810","TV 2"
"0x1a4902","KEY_3","0x40B","DVD 3"
"0x10002","KEY_3","0x410","TV 3"
"0x1a4903","KEY_4","0xC0B","DVD 4"
"0x10003","KEY_4","0xC10","TV 4"
"0x1a4904","KEY_5","0x20B","DVD 5"
"0x10003","KEY_5","0x210","TV 5"
"0x1a4905","KEY_6","0xA0B","DVD 6"
"0x10005","KEY_6","0xA10","TV 6"
"0x1a4906","KEY_7","0x60B","DVD 7"
"0x10006","KEY_7","0x610","TV 7"
"0x1a4907","KEY_8","0xE0B","DVD 8"
"0x10007","KEY_8","0xE10","TV 8"
"0x1a4908","KEY_9","0x10B","DVD 9"
"0x10008","KEY_9","0x110","TV 9"
"0x1a4954","KEY_A","0x2AB","(add) Display"
"0x1a4931","KEY_B","0x8CB","(jump_fwd) Next"
"0x1a490f","KEY_BACKSPACE","0xF0B","(back) Clear"
"0x1a4939","KEY_C","0x9CB","(pause) Pause"
"0x1a4935","KEY_COMMA","0xACB","(shuffle)"
"0x1a4922","KEY_D","0x44B","(add end) Scan/Slow Back"
"0x1a492c","KEY_DOT","0x34B","(repeat)"
"0x1a497a","KEY_DOWN","0x5EB","Down"
"0x1a4920","KEY_E","0x04B","(scanner_rew) Back"
"0x1000b","KEY_ENTER","0xD10","TV Enter"
"0x100012","KEY_EQUAL","0x481","DVD Volume Up"
"0x1a490e","KEY_ESC","0x70B","(back) Return"
"0x1a4965","KEY_F","0xA6B","(favourites) Angle"
"0x1a4938","KEY_G","0x1CB","(stop) Stop"
"0x1a4963","KEY_GRAVE","0xC6B","(playlists) Subtitle"
"0x1a490b","KEY_L","0xD0B","(go) Enter/Circle Enter"
"0x1a497b","KEY_LEFT","0xDEB","Left"
"0x1a491a","KEY_LEFTBRACE","0x58B","(go_now_playing) Title"
"0x100013","KEY_MINUS","0xC81","DVD Volume Down"
"0x1a4932","KEY_P","0x4CB","(play) Play"
"0x1a4915","KEY_POWER","0xA8B","(power) DVD Power 1/0"
"0x10015","KEY_POWER","0xA90","TV Power"
"0x1a4921","KEY_R","0x84B","(scanner_fwd) Forward"
"0x1a497c","KEY_RIGHT","0x3EB","Right"
"0x1a4928","KEY_RIGHTBRACE","0x14B","(go_playlist) Time/Text"
"0x10025","KEY_S","0xA50","(sleep) TV/Video"
"0x1a491f","KEY_S","0xF8B","(sleep) Program"
"0x1a4958","KEY_SEMICOLON","0x1AB","(go_music_library) DVE"
"0x1a492a","KEY_SEMICOLON","0x54B","(go_music_library) A-B"
"0x1a4916","KEY_SLASH","0x68B","(go_search) Open/Close"
"0x1a491b","KEY_T","0xD8B","(go_current_track_info) DVD Menu"
"0x1a4964","KEY_U","0x26B","(mute) Audio"
"0x1a4979","KEY_UP","0x9EB","Up"
"0x10013","KEY_VOLUMEDOWN","0xC90","TV Volume Down"
"0x10012","KEY_VOLUMEUP","0x490","TV Volume Up"
"0x1a4923","KEY_Y","0xC4B","(play next) Scan/Slow Forward"
"0x1a4930","KEY_Z","0x0CB","(jump_rew) Previous"
